scenario,step,id,pos_x,pos_y,vel_x,vel_y,spin,energy
1,0,0,512,480.01,0,1,1,1
1,0,1,480.01,512,1,0,-1,1
1,50,0,511.99872,480.5105,-0.0068099517,0.9999775,1,1
1,50,1,480.5105,511.99872,0.9999775,-0.0068099517,-1,1
1,100,0,511.98904,481.0109,-0.034733314,0.9994058,1,1
1,100,1,481.0109,511.98904,0.9994058,-0.034733314,-1,1
1,150,0,511.9695,481.50986,-0.04747267,0.9988839,1,1
1,150,1,481.50986,511.9695,0.9988839,-0.04747267,-1,1
1,200,0,511.9372,482.0088,-0.08513897,0.9963953,1,1
1,200,1,482.0088,511.9372,0.9963953,-0.08513897,-1,1
1,250,0,511.89255,482.50623,-0.09733829,0.9952795,1,1
1,250,1,482.50623,511.89255,0.9952795,-0.09733829,-1,1
1,300,0,511.8355,483.003,-0.13433827,0.99097824,1,1
1,300,1,483.003,511.8355,0.99097824,-0.13433827,-1,1
1,350,0,511.7663,483.49835,-0.14646767,0.9892601,1,1
1,350,1,483.49835,511.7663,0.9892601,-0.14646767,-1,1
1,400,0,511.6847,483.99164,-0.18321009,0.9831334,1,1
1,400,1,483.99164,511.6847,0.9831334,-0.18321009,-1,1
1,450,0,511.5907,484.48282,-0.19574007,0.9807177,1,1
1,450,1,484.48282,511.5907,0.9807177,-0.19574007,-1,1
1,500,0,511.48468,484.9714,-0.23164439,0.97287756,1,1
1,500,1,484.9714,511.48468,0.97287756,-0.23164439,-1,1
1,550,0,511.36575,485.45712,-0.24505806,0.96958905,1,1
1,550,1,485.45712,511.36575,0.96958905,-0.24505806,-1,1
1,600,0,511.23544,485.93985,-0.27956071,0.96022326,1,1
1,600,1,485.93985,511.23544,0.96022326,-0.27956071,-1,1
1,650,0,511.09122,486.41867,-0.29491788,0.9556233,1,1
1,650,1,486.41867,511.09122,0.9556233,-0.29491788,-1,1
1,700,0,510.93796,486.89447,-0.31367743,0.94963646,1,1
1,700,1,486.89447,510.93796,0.94963646,-0.31367743,-1,1
1,750,0,510.77896,487.36868,-0.32312995,0.9464632,1,1
1,750,1,487.36868,510.77896,0.9464632,-0.32312995,-1,1
1,800,0,510.61084,487.83966,-0.352548,0.93591464,1,1
1,800,1,487.83966,510.61084,0.93591464,-0.352548,-1,1
1,850,0,510.42737,488.30487,-0.37336075,0.9278181,1,1
1,850,1,488.30487,510.42737,0.9278181,-0.37336075,-1,1
1,900,0,510.23495,488.76648,-0.3994226,0.91690964,1,1
1,900,1,488.76648,510.23495,0.91690964,-0.3994226,-1,1
1,950,0,510.02686,489.2211,-0.42433447,0.9056632,1,1
1,950,1,489.2211,510.02686,0.9056632,-0.42433447,-1,1
1,1000,0,509.81262,489.6729,-0.43419945,0.90097696,1,1
1,1000,1,489.6729,509.81262,0.90097696,-0.43419945,-1,1
1,1050,0,509.58936,490.12042,-0.45512027,0.8906001,1,1
1,1050,1,490.12042,509.58936,0.8906001,-0.45512027,-1,1
1,1100,0,509.3585,490.56406,-0.47173992,0.8819141,1,1
1,1100,1,490.56406,509.3585,0.8819141,-0.47173992,-1,1
1,1150,0,509.11374,491.00012,-0.5098699,0.8604551,1,1
1,1150,1,491.00012,509.11374,0.8604551,-0.5098699,-1,1
1,1200,0,508.8578,491.42978,-0.5150579,0.85736006,1,1
1,1200,1,491.42978,508.8578,0.85736006,-0.5150579,-1,1
1,1250,0,508.59552,491.85565,-0.5369658,0.8438206,1,1
1,1250,1,491.85565,508.59552,0.8438206,-0.5369658,-1,1
1,1300,0,508.32138,492.2739,-0.5540289,0.8327253,1,1
1,1300,1,492.2739,508.32138,0.8327253,-0.5540289,-1,1
1,1350,0,508.03918,492.68683,-0.57733434,0.81675076,1,1
1,1350,1,492.68683,508.03918,0.81675076,-0.57733434,-1,1
1,1400,0,507.7473,493.0929,-0.58665794,0.81008357,1,1
1,1400,1,493.0929,507.7473,0.81008357,-0.58665794,-1,1
1,1450,0,507.45123,493.4958,-0.60094607,0.79954636,1,1
1,1450,1,493.4958,507.45123,0.79954636,-0.60094607,-1,1
1,1500,0,507.14294,493.8896,-0.6345792,0.77314776,1,1
1,1500,1,493.8896,507.14294,0.77314776,-0.6345792,-1,1
1,1550,0,506.8196,494.27112,-0.6510534,0.7593414,1,1
1,1550,1,494.27112,506.8196,0.7593414,-0.6510534,-1,1
1,1600,0,506.4899,494.64722,-0.6703933,0.74233234,1,1
1,1600,1,494.64722,506.4899,0.74233234,-0.6703933,-1,1
1,1650,0,506.146,495.01028,-0.7063136,0.70827734,1,1
1,1650,1,495.01028,506.146,0.70827734,-0.7063136,-1,1
1,1700,0,505.79193,495.36362,-0.71081144,0.70376426,1,1
1,1700,1,495.36362,505.79193,0.70376426,-0.71081144,-1,1
1,1750,0,505.4325,495.71133,-0.72938627,0.6845058,1,1
1,1750,1,495.71133,505.4325,0.6845058,-0.72938627,-1,1
1,1800,0,505.05975,496.0449,-0.7590469,0.65149474,1,1
1,1800,1,496.0449,505.05975,0.65149474,-0.7590469,-1,1
1,1850,0,504.67917,496.36926,-0.7651188,0.6443549,1,1
1,1850,1,496.36926,504.67917,0.6443549,-0.7651188,-1,1
1,1900,0,504.29184,496.6857,-0.7861259,0.61857045,1,1
1,1900,1,496.6857,504.29184,0.61857045,-0.7861259,-1,1
1,1950,0,503.891,496.9849,-0.81111914,0.5854524,1,1
1,1950,1,496.9849,503.891,0.5854524,-0.81111914,-1,1
1,2000,0,503.48428,497.27612,-0.817644,0.57630765,1,1
1,2000,1,497.27612,503.48428,0.57630765,-0.817644,-1,1
1,2050,0,503.0709,497.5576,-0.8377314,0.5467221,1,1
1,2050,1,497.5576,503.0709,0.5467221,-0.8377314,-1,1
1,2100,0,502.64926,497.82654,-0.84706336,0.5321598,1,1
1,2100,1,497.82654,502.64926,0.5321598,-0.84706336,-1,1
1,2150,0,502.22238,498.0874,-0.8579275,0.51447296,1,1
1,2150,1,498.0874,502.22238,0.51447296,-0.8579275,-1,1
1,2200,0,501.79205,498.34198,-0.8631163,0.50572205,1,1
1,2200,1,498.34198,501.79205,0.50572205,-0.8631163,-1,1
1,2250,0,501.35794,498.5904,-0.8751306,0.48464784,1,1
1,2250,1,498.5904,501.35794,0.48464784,-0.8751306,-1,1
1,2300,0,500.91507,498.82315,-0.89333296,0.45025548,1,1
1,2300,1,498.82315,500.91507,0.45025548,-0.89333296,-1,1
1,2350,0,500.46722,499.0455,-0.8986075,0.43963894,1,1
1,2350,1,499.0455,500.46722,0.43963894,-0.8986075,-1,1
1,2400,0,500.01633,499.26233,-0.9060605,0.4240748,1,1
1,2400,1,499.26233,500.01633,0.4240748,-0.9060605,-1,1
1,2450,0,499.56244,499.47217,-0.9108004,0.41223893,1,1
1,2450,1,499.47217,499.56244,0.41223893,-0.9108004,-1,1
1,2500,0,499.10672,499.66797,-0.9209948,0.37535962,1,1
1,2500,1,499.67633,499.09787,0.39165467,-0.9388697,-1,1
1,2550,0,498.64392,499.84967,-0.9281277,0.35737905,1,1
1,2550,1,499.86652,498.62616,0.37399492,-0.9460504,-1,1
1,2600,0,498.17755,500.02197,-0.9381975,0.33006647,1,1
1,2600,1,500.04703,498.15067,0.34713587,-0.95624137,-1,1
1,2650,0,497.70657,500.1818,-0.9436173,0.31425092,1,1
1,2650,1,500.21545,497.6705,0.33109164,-0.9619191,-1,1
1,2700,0,497.2329,500.3332,-0.95198137,0.28795022,1,1
1,2700,1,500.37476,497.1875,0.30282074,-0.9711996,-1,1
1,2750,0,496.75455,500.46863,-0.9592218,0.26286733,1,1
1,2750,1,500.51837,496.69974,0.28035873,-0.9779301,-1,1
1,2800,0,496.2736,500.59506,-0.9654398,0.23905014,1,1
1,2800,1,500.65277,496.20908,0.25361133,-0.9852139,-1,1
1,2850,0,495.78897,500.70566,-0.9717462,0.21201764,1,1
1,2850,1,500.77164,495.71454,0.23020484,-0.9909542,-1,1
1,2900,0,495.302,500.807,-0.97632325,0.1898586,1,1
1,2900,1,500.8811,495.21783,0.20411752,-0.9966623,-1,1
1,2950,0,494.81232,500.893,-0.9813273,0.16208956,1,1
1,2950,1,500.97513,494.71783,0.18089366,-1.0011473,-1,1
1,3000,0,494.32083,500.96967,-0.9846255,0.1407098,1,1
1,3000,1,501.0628,494.21698,0.16974019,-1.0031005,-1,1
1,3050,0,493.82767,501.0327,-0.98737586,0.11996462,1,1
1,3050,1,501.14325,493.71497,0.15567097,-1.0053823,-1,1
1,3100,0,493.33328,501.0885,-0.989657,0.09945271,1,1
1,3100,1,501.21545,493.21133,0.12923011,-1.009129,-1,1
1,3150,0,492.83765,501.12894,-0.992178,0.07013037,1,1
1,3150,1,501.27225,492.70612,0.10645435,-1.0117942,-1,1
1,3200,0,492.34167,501.15994,-0.9933992,0.050025996,1,1
1,3200,1,501.31964,492.19952,0.07935462,-1.0142876,-1,1
1,3250,0,491.84424,501.17584,-0.9944671,0.0201068,1,1
1,3250,1,501.35165,491.6916,0.056972582,-1.0157987,-1,1
1,3300,0,491.3468,501.18192,-0.99467456,0.00046344605,1,1
1,3300,1,501.37418,491.18347,0.029274613,-1.0169815,-1,1
1,3350,0,490.84937,501.17316,-0.9942602,-0.029124288,1,1
1,3350,1,501.3814,490.67535,0.0073434566,-1.0173843,-1,1
1,3400,0,490.35193,501.15457,-0.9934956,-0.04875417,1,1
1,3400,1,501.3789,490.16724,-0.020888314,-1.0172046,-1,1
1,3450,0,489.8559,501.12085,-0.99155045,-0.079138465,1,1
1,3450,1,501.36142,489.65912,-0.04164395,-1.0165744,-1,1
1,3500,0,489.36023,501.07748,-0.9898477,-0.09821037,1,1
1,3500,1,501.33426,489.151,-0.07084982,-1.014966,-1,1
1,3550,0,488.86646,501.01923,-0.98632497,-0.12896356,1,1
1,3550,1,501.2922,488.6443,-0.090576865,-1.0134028,-1,1
1,3600,0,488.3736,500.95285,-0.9851325,-0.13778606,1,1
1,3600,1,501.24033,488.13818,-0.12068218,-1.0102698,-1,1
1,3650,0,487.8818,500.878,-0.98202914,-0.15843302,1,1
1,3650,1,501.17355,487.63397,-0.13996612,-1.0077859,-1,1
1,3700,0,487.3913,500.79526,-0.9789783,-0.17632838,1,1
1,3700,1,501.09686,487.13107,-0.17038456,-1.0031011,-1,1
1,3750,0,486.90347,500.69766,-0.97243625,-0.2094888,1,1
1,3750,1,501.00534,486.6305,-0.18966277,-0.999642,-1,1
1,3800,0,486.4179,500.58975,-0.9687943,-0.22574773,1,1
1,3800,1,500.9081,486.13147,-0.2015651,-0.99731207,-1,1
1,3850,0,485.9357,500.4678,-0.9601675,-0.2600614,1,1
1,3850,1,500.80325,485.6338,-0.21529905,-0.99444044,-1,1
1,3900,0,485.45636,500.33508,-0.9560927,-0.27467397,1,1
1,3900,1,500.68896,485.138,-0.24528012,-0.9874829,-1,1
1,3950,0,484.98093,500.18896,-0.94492936,-0.31096396,1,1
1,3950,1,500.55988,484.64606,-0.2642442,-0.9825851,-1,1
1,4000,0,484.50916,500.03128,-0.9407284,-0.3234573,1,1
1,4000,1,500.42123,484.15656,-0.29384467,-0.9741526,-1,1
1,4050,0,484.0399,499.8661,-0.9362955,-0.33608136,1,1
1,4050,1,500.2673,483.6716,-0.31448972,-0.9676936,-1,1
1,4100,0,483.57248,499.69565,-0.93219686,-0.34729317,1,1
1,4100,1,500.104,483.18976,-0.34218016,-0.9582618,-1,1
1,4150,0,483.10922,499.51474,-0.9195796,-0.3794756,1,1
1,4150,1,499.92566,482.7131,-0.36208725,-0.9509279,-1,1
1,4200,0,482.65176,499.31927,-0.9121745,-0.39696288,1,1
1,4200,1,499.74017,482.2394,-0.38315606,-0.94264185,-1,1
1,4250,0,482.19846,499.11453,-0.8993351,-0.42527416,1,1
1,4250,1,499.54102,481.77127,-0.40586662,-0.9330989,-1,1
1,4300,0,481.75296,498.8939,-0.8882722,-0.4479472,1,1
1,4300,1,499.3333,481.30682,-0.42837548,-0.9229893,-1,1
1,4350,0,481.31104,498.6655,-0.8773893,-0.46891814,1,1
1,4350,1,499.10974,480.84973,-0.45766598,-0.90883785,-1,1
1,4400,0,480.87738,498.42212,-0.86120915,-0.49804094,1,1
1,4400,1,498.87848,480.39645,-0.4665963,-0.9042868,-1,1
1,4450,0,480.44873,498.1698,-0.85146654,-0.51452816,1,1
1,4450,1,498.6405,479.94684,-0.4861106,-0.8939544,-1,1
1,4500,0,480.02777,497.90512,-0.83686614,-0.5379696,1,1
1,4500,1,498.39505,479.5011,-0.49924448,-0.8866896,-1,1
1,4550,0,479.6104,497.63443,-0.83085006,-0.547218,1,1
1,4550,1,498.13742,479.06244,-0.5340954,-0.86616355,-1,1
1,4600,0,479.19943,497.35425,-0.81105876,-0.576167,1,1
1,4600,1,497.86627,478.63193,-0.54528725,-0.859168,-1,1
1,4650,0,478.8,497.05783,-0.79342335,-0.6002448,1,1
1,4650,1,497.58926,478.20526,-0.5659632,-0.84569865,-1,1
1,4700,0,478.40485,496.75583,-0.78692603,-0.60874003,1,1
1,4700,1,497.29932,477.7871,-0.5865165,-0.8315879,-1,1
1,4750,0,478.01578,496.44586,-0.76689684,-0.63380456,1,1
1,4750,1,497.0017,477.37445,-0.6069207,-0.81682384,-1,1
1,4800,0,477.6342,496.12665,-0.7582474,-0.6441317,1,1
1,4800,1,496.69644,476.96744,-0.61563486,-0.81027836,-1,1
1,4850,0,477.2583,495.80084,-0.74807703,-0.65592134,1,1
1,4850,1,496.38654,476.564,-0.6271201,-0.8014255,-1,1
1,4900,0,476.8876,495.46912,-0.73648745,-0.66891444,1,1
1,4900,1,496.06583,476.16898,-0.65809524,-0.77621245,-1,1
1,4950,0,476.52206,495.13177,-0.72313684,-0.6833316,1,1
1,4950,1,495.73248,475.78445,-0.6698904,-0.7660644,-1,1
1,5000,0,476.16483,494.78555,-0.7098539,-0.6971288,1,1
1,5000,1,495.3932,475.4052,-0.6897719,-0.74822354,-1,1
1,5050,0,475.81277,494.4341,-0.70058477,-0.70644647,1,1
1,5050,1,495.03946,475.03952,-0.72721565,-0.71192473,-1,1
1,5100,0,475.46634,494.0771,-0.68253046,-0.7239142,1,1
1,5100,1,494.67227,474.68744,-0.73942,-0.69924986,-1,1
1,5150,0,475.12875,493.71182,-0.6706288,-0.73495936,1,1
1,5150,1,494.29727,474.34354,-0.7629403,-0.67352784,-1,1
1,5200,0,474.79675,493.3415,-0.66023874,-0.744311,1,1
1,5200,1,493.90704,474.01724,-0.7922439,-0.63884264,-1,1
1,5250,0,474.47104,492.96555,-0.64203167,-0.7600809,1,1
1,5250,1,493.50958,473.69937,-0.79933167,-0.6299546,-1,1
1,5300,0,474.15207,492.5839,-0.63113743,-0.7691543,1,1
1,5300,1,493.10492,473.3909,-0.8213477,-0.60098994,-1,1
1,5350,0,473.84143,492.19534,-0.6160236,-0.78131896,1,1
1,5350,1,492.69016,473.09604,-0.83323807,-0.58440673,-1,1
1,5400,0,473.5364,491.80255,-0.6064075,-0.78880805,1,1
1,5400,1,492.27133,472.80713,-0.84072655,-0.5735857,-1,1
1,5450,0,473.2374,491.40494,-0.5867047,-0.8035787,1,1
1,5450,1,491.84784,472.52496,-0.8506553,-0.5587626,-1,1
1,5500,0,472.9531,490.99664,-0.5537894,-0.82663006,1,1
1,5500,1,491.4202,472.2492,-0.86206985,-0.5409952,-1,1
1,5550,0,472.67807,490.58218,-0.5436229,-0.8333533,1,1
1,5550,1,490.98355,471.98798,-0.88476783,-0.5030586,-1,1
1,5600,0,472.41342,490.161,-0.51221764,-0.8530327,1,1
1,5600,1,490.5401,471.73837,-0.8911118,-0.49173844,-1,1
1,5650,0,472.16492,489.73,-0.49042803,-0.8657573,1,1
1,5650,1,490.09042,471.50015,-0.9090492,-0.45776343,-1,1
1,5700,0,471.9242,489.29477,-0.47489902,-0.87437683,1,1
1,5700,1,489.6333,471.27652,-0.9173017,-0.44100907,-1,1
1,5750,0,471.68973,488.85605,-0.46445268,-0.8799723,1,1
1,5750,1,489.1715,471.06262,-0.93105507,-0.41120625,-1,1
1,5800,0,471.4611,488.41418,-0.4465413,-0.8892006,1,1
1,5800,1,488.70325,470.8636,-0.9392101,-0.39224434,-1,1
1,5850,0,471.24713,487.96503,-0.40894687,-0.90712583,1,1
1,5850,1,488.23135,470.67316,-0.9497395,-0.3660366,-1,1
1,5900,0,471.04483,487.51056,-0.3964365,-0.9126653,1,1
1,5900,1,487.7533,470.4986,-0.9590304,-0.34098664,-1,1
1,5950,0,470.85022,487.0527,-0.38357607,-0.9181476,1,1
1,5950,1,487.27203,470.3332,-0.9671815,-0.31715068,-1,1
1,6000,0,470.6608,486.59277,-0.37263316,-0.92264503,1,1
1,6000,1,486.78537,470.18353,-0.975667,-0.29004005,-1,1
2,0,0,480,511.99,0,-1,1,1
2,0,1,511.99,480,-1,0,-1,1
2,50,0,480.00208,511.4895,0.012249716,-0.999927,1,1
2,50,1,511.4895,480.00208,-0.999927,0.012249716,-1,1
2,100,0,480.01666,510.98956,0.048491724,-0.9988395,1,1
2,100,1,510.98956,480.01666,-0.9988395,0.048491724,-1,1
2,150,0,480.04312,510.4906,0.061222777,-0.9981422,1,1
2,150,1,510.4906,480.04312,-0.9981422,0.061222777,-1,1
2,200,0,480.0822,509.9921,0.09885151,-0.995135,1,1
2,200,1,509.9921,480.0822,-0.995135,0.09885151,-1,1
2,250,0,480.13367,509.49466,0.111034416,-0.99385154,1,1
2,250,1,509.49466,480.13367,-0.99385154,0.111034416,-1,1
2,300,0,480.19757,508.9988,0.14797191,-0.98904127,1,1
2,300,1,508.9988,480.19757,-0.98904127,0.14797191,-1,1
2,350,0,480.27368,508.5045,0.16007657,-0.9871565,1,1
2,350,1,508.5045,480.27368,-0.9871565,0.16007657,-1,1
2,400,0,480.36203,508.01245,0.19673142,-0.9805243,1,1
2,400,1,508.01245,480.36203,-0.9805243,0.19673142,-1,1
2,450,0,480.4631,507.52274,0.2097454,-0.9778257,1,1
2,450,1,507.52274,480.4631,-0.9778257,0.2097454,-1,1
2,500,0,480.57596,507.03564,0.24504936,-0.96959484,1,1
2,500,1,507.03564,480.57596,-0.96959484,0.24504936,-1,1
2,550,0,480.7021,506.55188,0.25891894,-0.9659874,1,1
2,550,1,506.55188,480.7021,-0.9659874,0.25891894,-1,1
2,600,0,480.8392,506.07108,0.2928058,-0.9562749,1,1
2,600,1,506.07108,480.8392,-0.9562749,0.2928058,-1,1
2,650,0,480.99033,505.59436,0.3086118,-0.9512969,1,1
2,650,1,505.59436,480.99033,-0.9512969,0.3086118,-1,1
2,700,0,481.14706,505.11945,0.3200908,-0.9474983,1,1
2,700,1,505.11945,481.14706,-0.9474983,0.3200908,-1,1
2,750,0,481.31067,504.64688,0.3327778,-0.94312,1,1
2,750,1,504.64688,481.31067,-0.94312,0.3327778,-1,1
2,800,0,481.4834,504.17758,0.36162037,-0.93245226,1,1
2,800,1,504.17758,481.4834,-0.93245226,0.36162037,-1,1
2,850,0,481.67178,503.71445,0.38357332,-0.923649,1,1
2,850,1,503.71445,481.67178,-0.923649,0.38357332,-1,1
2,900,0,481.86905,503.25494,0.40860048,-0.91286236,1,1
2,900,1,503.25494,481.86905,-0.91286236,0.40860048,-1,1
2,950,0,482.0821,502.80276,0.43474147,-0.9007208,1,1
2,950,1,502.80276,482.0821,-0.9007208,0.43474147,-1,1
2,1000,0,482.30347,502.3543,0.45378438,-0.89128435,1,1
2,1000,1,502.3543,482.30347,-0.89128435,0.45378438,-1,1
2,1050,0,482.5394,501.91345,0.48596206,-0.87417465,1,1
2,1050,1,501.91345,482.5394,-0.87417465,0.48596206,-1,1
2,1100,0,482.78516,501.47806,0.50053716,-0.8659153,1,1
2,1100,1,501.47806,482.78516,-0.8659153,0.50053716,-1,1
2,1150,0,483.04327,501.04987,0.5294103,-0.848586,1,1
2,1150,1,501.04987,483.04327,-0.848586,0.5294103,-1,1
2,1200,0,483.30954,500.6264,0.53794634,-0.8432021,1,1
2,1200,1,500.6264,483.30954,-0.8432021,0.53794634,-1,1
2,1250,0,483.585,500.209,0.56651187,-0.82429683,1,1
2,1250,1,500.209,483.585,-0.82429683,0.56651187,-1,1
2,1300,0,483.8767,499.80283,0.591354,-0.80667937,1,1
2,1300,1,499.80283,483.8767,-0.80667937,0.591354,-1,1
2,1350,0,484.17505,499.40134,0.6003527,-0.800007,1,1
2,1350,1,499.40134,484.17505,-0.800007,0.6003527,-1,1
2,1400,0,484.47983,499.00482,0.6215404,-0.783669,1,1
2,1400,1,499.00482,484.47983,-0.783669,0.6215404,-1,1
2,1450,0,484.79245,498.6144,0.6313275,-0.77580893,1,1
2,1450,1,498.6144,484.79245,-0.77580893,0.6313275,-1,1
2,1500,0,485.11346,498.2309,0.6488627,-0.7612133,1,1
2,1500,1,498.2309,485.11346,-0.7612133,0.6488627,-1,1
2,1550,0,485.44037,497.8526,0.6576725,-0.7536169,1,1
2,1550,1,497.8526,485.44037,-0.7536169,0.6576725,-1,1
2,1600,0,485.7726,497.4788,0.67391014,-0.7391394,1,1
2,1600,1,497.4788,485.7726,-0.7391394,0.67391014,-1,1
2,1650,0,486.11658,497.11557,0.6959805,-0.71841365,1,1
2,1650,1,497.11557,486.11658,-0.71841365,0.6959805,-1,1
2,1700,0,486.46613,496.75815,0.702675,-0.71186864,1,1
2,1700,1,496.75815,486.46613,-0.71186864,0.702675,-1,1
2,1750,0,486.82187,496.40665,0.72285444,-0.69138134,1,1
2,1750,1,496.40665,486.82187,-0.69138134,0.72285444,-1,1
2,1800,0,487.18945,496.0676,0.7410966,-0.6718077,1,1
2,1800,1,496.0676,487.18945,-0.6718077,0.7410966,-1,1
2,1850,0,487.56177,495.73355,0.74825007,-0.6638332,1,1
2,1850,1,495.73355,487.56177,-0.6638332,0.74825007,-1,1
2,1900,0,487.94055,495.40695,0.7689543,-0.6397522,1,1
2,1900,1,495.40695,487.94055,-0.6397522,0.7689543,-1,1
